iter	RMSE
0	2.407580066
1	2.295246267
2	2.188934396
3	2.08789975
4	1.997005773
5	1.910145303
6	1.828689792
7	1.754146741
8	1.684240523
9	1.618166829
10	1.559581598
11	1.502503742
12	1.452556109
13	1.405582681
14	1.360928714
15	1.320844171
16	1.282918207
17	1.247162367
18	1.213974331
19	1.184193031
20	1.156503348
21	1.129801073
22	1.105242191
23	1.083599565
24	1.063424914
25	1.043796929
26	1.025859187
27	1.011134885
28	0.9971131182
29	0.9841101583
30	0.9722603488
31	0.9611307131
32	0.9511139596
33	0.9417068075
34	0.9333348186
35	0.9253009894
36	0.9187333239
37	0.9124562577
38	0.9068460708
39	0.9020713357
40	0.8973131332
41	0.8928402099
42	0.8886425693
43	0.8849931158
44	0.8817233652
45	0.8786752637
46	0.8756926903
47	0.8731346588
48	0.8709006296
49	0.8688380557
50	0.866912312
51	0.8652037188
52	0.8636868698
53	0.8623904735
54	0.8609299124
55	0.8595697419
56	0.8582302965
57	0.8571367397
58	0.8560993536
59	0.8552361901
60	0.854177304
61	0.852988849
62	0.8521859673
63	0.8512991342
64	0.8505929311
65	0.849980146
66	0.8493916284
67	0.848745107
68	0.8481080255
69	0.8473843536
70	0.8467630434
71	0.846130995
72	0.8455686834
73	0.8449491186
74	0.8444456755
75	0.8439793539
76	0.8433604657
77	0.8427650808
78	0.8422681838
79	0.8420190232
80	0.8416602754
81	0.8412585693
82	0.8406724608
83	0.840281745
84	0.8397541787
85	0.839146105
86	0.8387294305
87	0.8381091176
88	0.8376128544
89	0.8373199477
90	0.8370004837
91	0.8365681328
92	0.8362179615
93	0.8358049665
94	0.8352927247
95	0.8348588494
96	0.8344844463
97	0.8337717433
98	0.8332879227
99	0.8329820396
100	0.8325692629
101	0.832111482
102	0.8317203127
103	0.831328837
104	0.8307727264
105	0.8303682281
106	0.8299927028
107	0.8296144478
108	0.8293762614
109	0.8290490782
110	0.8287183397
111	0.8283853188
112	0.8279924532
113	0.8276882977
114	0.8271859401
115	0.82660824
116	0.8261662787
117	0.8258167713
118	0.8255282878
119	0.8249921065
120	0.8245003398
121	0.8241774587
122	0.823812079
123	0.8233812385
124	0.8227965012
125	0.8224389779
126	0.8220292486
127	0.8218055914
128	0.821390008
129	0.8211341124
130	0.8206367105
131	0.8203722378
132	0.8198411287
133	0.819301037
134	0.8190524368
135	0.8188103828
136	0.8185108983
137	0.8180653112
138	0.8177589012
139	0.8173226095
140	0.8170680813
141	0.8165690107
142	0.8162757443
143	0.815927038
144	0.8154669955
145	0.8152548988
146	0.8149751957
147	0.8145397577
148	0.8142408846
149	0.8138458112
150	0.8135055792
151	0.813120007
152	0.8128831624
153	0.8125362442
154	0.8119298821
155	0.8115357246
156	0.8111501446
157	0.8108228989
158	0.8105126028
159	0.810210502
160	0.8098281427
161	0.8093767288
162	0.8090417802
163	0.8087339247
164	0.8083657031
165	0.8079980486
166	0.8075966627
167	0.8072791282
168	0.8069287863
169	0.8067374913
170	0.8064138139
171	0.8060513755
172	0.8057247045
173	0.8053580176
174	0.8049190536
175	0.8045526446
176	0.8042281794
177	0.8038797434
178	0.8034183942
179	0.8031845705
180	0.8028397038
181	0.8025058789
182	0.8021638951
183	0.8018317011
184	0.8013902064
185	0.8009019088
186	0.8005337592
187	0.8002054944
188	0.7998455537
189	0.7992888961
190	0.7988976951
191	0.7985548958
192	0.7983258738
193	0.7980107014
194	0.7976798185
195	0.7974006412
196	0.7966914277
197	0.7961725862
198	0.7956832814
199	0.7952178594
200	0.7949000002
201	0.7945139344
202	0.7941377333
203	0.7937557701
204	0.7932403142
205	0.7926209573
206	0.792212918
207	0.791844055
208	0.7914192635
209	0.7910254495
210	0.7906409305
211	0.7903015832
212	0.7899695021
213	0.7896292629
214	0.789250584
215	0.7888082291
216	0.7884128303
217	0.7880812148
218	0.7877370733
219	0.787396339
220	0.7869602845
221	0.7864235321
222	0.7862242909
223	0.7858431007
224	0.7855751412
225	0.7850908301
226	0.7845588402
227	0.7842984138
228	0.7839224712
229	0.7837752444
230	0.783345705
231	0.7829826838
232	0.782538155
233	0.7822175342
234	0.78187406
235	0.7814124062
236	0.7808875889
237	0.7805173123
238	0.7801886118
239	0.7797724727
240	0.7793119398
241	0.7789037948
242	0.7782551117
243	0.7780726062
244	0.7777560844
245	0.7774508871
246	0.7770892505
247	0.77694325
248	0.7765049103
249	0.7761960673
250	0.7758651763
251	0.7754389298
252	0.7749395322
253	0.7744832852
254	0.774198649
255	0.7737533558
256	0.7734186263
257	0.773127711
258	0.7728139639
259	0.7723662289
260	0.7720593119
261	0.7716263606
262	0.7713344315
263	0.7710938556
264	0.7706371511
265	0.7701691818
266	0.7697624277
267	0.7694248465
268	0.7691482956
269	0.7686862186
270	0.7683568616
271	0.7679078515
272	0.7675649695
273	0.7672121208
274	0.7668369213
275	0.7664368375
276	0.7661587301
277	0.7658823937
278	0.7654525312
279	0.7652326705
280	0.7648429911
281	0.7644498715
282	0.7640985162
283	0.7638294273
284	0.763406541
285	0.7632096337
286	0.7628216195
287	0.762462404
288	0.7621239544
289	0.7618628872
290	0.7613538712
291	0.7610770353
292	0.7609696724
293	0.7606265491
294	0.7602453486
295	0.7599258515
296	0.7595998214
297	0.7594608523
298	0.7592843055
299	0.7589300483
300	0.7585347449
301	0.7583366384
302	0.7581060789
303	0.7580013493
304	0.7576054583
305	0.7574386944
306	0.7571186205
307	0.7567279975
308	0.756604109
309	0.7563320965
310	0.7559407876
311	0.7557284386
312	0.7554775284
313	0.7550982038
314	0.7547572952
315	0.7543819585
316	0.7538969479
317	0.7535747019
318	0.7531178592
319	0.7529489678
320	0.7527326226
321	0.7524633129
322	0.7523226235
323	0.7520495511
324	0.7517494142
325	0.7514334542
326	0.7509029421
327	0.7506132788
328	0.7503113796
329	0.7502110444
330	0.7499771024
331	0.7497120321
332	0.7494559652
333	0.749367295
334	0.7490548797
335	0.7489006861
336	0.7485179642
337	0.7482920649
338	0.7479317139
339	0.7475305841
340	0.7474230407
341	0.7473388269
342	0.7469839069
343	0.7466578962
344	0.7464481059
345	0.7461248743
346	0.7460213777
347	0.7459211448
348	0.7456152416
349	0.7454432155
350	0.7450887569
351	0.7449544045
352	0.7445152293
353	0.7442436051
354	0.7440865219
355	0.7438981142
356	0.743655734
357	0.7435761545
358	0.7433374821
359	0.7432334603
360	0.7429947656
361	0.742524197
362	0.7422452518
363	0.7418538311
364	0.7416262225
365	0.7413793593
366	0.7408815312
367	0.7406067919
368	0.7403567593
369	0.739780999
370	0.7393755796
371	0.7391143352
372	0.7386124303
373	0.7381248123
374	0.7377437343
375	0.7374796223
376	0.7372369658
377	0.7371555111
378	0.736795075
379	0.7364594872
380	0.7360742699
381	0.7356713214
382	0.735588452
383	0.7354316474
384	0.735113543
385	0.7346189935
386	0.7344194076
387	0.7341921737
388	0.733781774
389	0.7335900725
390	0.7332149068
391	0.7328357395
392	0.732530959
393	0.7324518336
394	0.7321520466
395	0.7318612233
396	0.7315176993
397	0.7310699678
398	0.7307449713
399	0.7303552762
400	0.7299911951
401	0.7294600788
402	0.7291785151
403	0.7289752429
404	0.7286427154
405	0.7282636164
406	0.7278849045
407	0.7274429607
408	0.7271324405
409	0.7267203844
410	0.7264402285
411	0.7260460125
412	0.7256524537
413	0.7252315373
414	0.7248440926
415	0.7247241721
416	0.7244146938
417	0.724130797
418	0.7237772799
419	0.7233149678
420	0.7230695427
421	0.7229811347
422	0.7225511109
423	0.7222407018
424	0.7219098627
425	0.7215749887
426	0.7214326055
427	0.721112848
428	0.7208603602
429	0.7207580519
430	0.7203618649
431	0.7200715929
432	0.7198152918
433	0.7194813095
434	0.7193886919
435	0.7189543563
436	0.7183985845
437	0.7182985907
438	0.7178629815
439	0.717638817
440	0.7172878012
441	0.7169201722
442	0.7167054709
443	0.7163989457
444	0.7163286529
445	0.7159273774
446	0.7155409847
447	0.7152341792
448	0.7149037142
449	0.714689742
450	0.7143517336
451	0.7139955081
452	0.7137220843
453	0.7134137268
454	0.7128556757
455	0.7124393212
456	0.712128899
457	0.7116525353
458	0.7114412416
459	0.7113087055
460	0.7110350939
461	0.7106958993
462	0.7102948858
463	0.7098619023
464	0.7095735888
465	0.7093741492
466	0.7091265851
467	0.7089482719
468	0.7086213439
469	0.7083880797
470	0.7081501895
471	0.7080699923
472	0.7076871528
473	0.7074148761
474	0.7071233219
475	0.7067814643
476	0.7064241507
477	0.7062773434
478	0.7060212154
479	0.7058146584
480	0.7055228394
481	0.7052070193
482	0.7048032411
483	0.7045337542
484	0.704108217
485	0.7039214381
486	0.7036230626
487	0.7031008674
488	0.7027510489
489	0.7026887732
490	0.7024729937
491	0.7021182989
492	0.7018409718
493	0.7014738735
494	0.7012432321
495	0.7010405373
496	0.700682431
497	0.7004681047
498	0.7001029625
499	0.699823905
500	0.6996663871
501	0.6993873156
502	0.6991664244
503	0.6990855244
504	0.6990048903
505	0.6987107369
506	0.6984346111
507	0.6982121559
508	0.6981423259
509	0.6979721838
510	0.6978107332
511	0.6974262445
512	0.6970974157
513	0.6968838761
514	0.6966476255
515	0.696362767
516	0.6960004793
517	0.6956747898
518	0.6953141556
519	0.6948939785
520	0.6945965035
521	0.6942576381
522	0.6939087191
523	0.6936620929
524	0.6934010115
525	0.6930789057
526	0.6926572038
527	0.6925366205
528	0.6922140496
529	0.6919732968
530	0.6918459493
531	0.6913969727
532	0.6910086216
533	0.6907763473
534	0.6906600627
535	0.6903312672
536	0.689948719
537	0.6897015419
538	0.6893454044
539	0.6889891539
540	0.688746322
541	0.688498842
542	0.6884405826
543	0.6882118202
544	0.6879982984
545	0.687929885
546	0.6875666585
547	0.6873947814
548	0.6871001066
549	0.6866052871
550	0.686266141
551	0.6861640845
552	0.6858678154
553	0.6855731758
554	0.6851298467
555	0.6848659232
556	0.6846079555
557	0.6843506745
558	0.6841706222
559	0.6836941588
560	0.6834142721
561	0.683107301
562	0.6826638264
563	0.682413561
564	0.6821983273
565	0.6819618038
566	0.6817491019
567	0.681437549
568	0.6812592665
569	0.6809603107
570	0.6804704198
571	0.6802516506
572	0.6798928844
573	0.6797065122
574	0.6793954256
575	0.6791437508
576	0.6788529091
577	0.6785568373
578	0.6782295005
579	0.6780512993
580	0.677993439
581	0.6777482477
582	0.6774032938
583	0.6770601407
584	0.6769572885
585	0.6766098163
586	0.6764035493
587	0.6761787183
588	0.6757905366
589	0.6755777094
590	0.6753624363
591	0.6750508781
592	0.6746755176
593	0.6743032502
594	0.673986362
595	0.6737924779
596	0.6734191999
597	0.6730805575
598	0.6728100374
599	0.6725308969
600	0.6722471929
601	0.6719843324
602	0.6719080694
603	0.6715115119
604	0.6711842738
605	0.6708648364
606	0.6704607063
607	0.6703035235
608	0.6699766267
609	0.6695739771
610	0.6695027645
611	0.6692889586
612	0.6689852015
613	0.668554699
614	0.6684210942
615	0.6680972762
616	0.6678427916
617	0.6675207739
618	0.6672637518
619	0.6670114854
620	0.6666837518
621	0.6663709614
622	0.666140904
623	0.665963709
624	0.6656437759
625	0.6655939852
626	0.6652583108
627	0.6649842153
628	0.6649090578
629	0.6647003436
630	0.6644627699
631	0.6641490322
632	0.6639907945
633	0.6636421233
634	0.6634552873
635	0.6632250493
636	0.6629593339
637	0.6627303734
638	0.6623979377
639	0.6620985299
640	0.6617421876
641	0.6616150728
642	0.6613088554
643	0.6610645419
644	0.6608401303
645	0.6605690977
646	0.6603266074
647	0.6601302299
648	0.6598928467
649	0.6597166208
650	0.6596495618
651	0.6595249488
652	0.6592280241
653	0.6591491956
654	0.6586334808
655	0.6583915234
656	0.6580704212
657	0.6576035408
658	0.6572669903
659	0.6570595092
660	0.6566937538
661	0.6563983366
662	0.6559541132
663	0.6556518865
664	0.6554190064
665	0.6551876973
666	0.6550733842
667	0.6548474755
668	0.654530406
669	0.654215881
670	0.6538005718
671	0.6534839003
672	0.6534421807
673	0.6532404735
674	0.6530496861
675	0.6528796475
676	0.6524510326
677	0.65237871
678	0.6521480959
679	0.6519175691
680	0.6516482422
681	0.6514474007
682	0.6511695808
683	0.6508771373
684	0.6507428333
685	0.6504761449
686	0.650184238
687	0.6498846989
688	0.649579526
689	0.6494154733
690	0.6490748771
691	0.6489351032
692	0.6487070142
693	0.6484129719
694	0.6481260546
695	0.6480306084
696	0.6476620081
697	0.6474470359
698	0.6470762499
699	0.6468831099
700	0.6466924157
701	0.6464072444
702	0.6462537834
703	0.6459438452
704	0.6456873759
705	0.6453991024
706	0.6451030209
707	0.6447154336
708	0.644656093
709	0.6443786244
710	0.6442292013
711	0.6440703348
712	0.6438090301
713	0.6436307909
714	0.6434049294
715	0.6431821518
716	0.6428843338
717	0.6426046674
718	0.6421600847
719	0.6418378504
720	0.6414762594
721	0.6413979394
722	0.6411783303
723	0.640881441
724	0.640568844
725	0.6402713567
726	0.639956708
727	0.6397670526
728	0.6394618968
729	0.6392410975
730	0.6388775835
731	0.6386669838
732	0.6383773221
733	0.6381048764
734	0.6380111699
735	0.6377150797
736	0.637443933
737	0.6371896376
738	0.6370522684
739	0.6368341749
740	0.6365440751
741	0.6361566913
742	0.6358852277
743	0.6355810712
744	0.6352428539
745	0.6348668975
746	0.634802849
747	0.6344910198
748	0.6342033747
749	0.6340032068
750	0.6336674673
751	0.6334107945
752	0.6331645609
753	0.6330676267
754	0.6329497084
755	0.6326741549
756	0.632428227
757	0.6321729244
758	0.631926813
759	0.6316910842
760	0.6315644907
761	0.6313039673
762	0.6311106952
763	0.6308295216
764	0.6306498981
765	0.6304243439
766	0.630158855
767	0.6299487056
768	0.6296884552
769	0.6296281594
770	0.6294325104
771	0.6293214984
772	0.6290371767
773	0.6287867033
774	0.628741726
775	0.6284489734
776	0.6282141093
777	0.6280900225
778	0.6277545295
779	0.6274968754
780	0.6272864963
781	0.6270162275
782	0.6267546693
783	0.6265170784
784	0.6262336315
785	0.6259667826
786	0.6256299447
787	0.6253611746
788	0.6251797965
789	0.6250520634
790	0.6248118175
791	0.6244883557
792	0.6242463259
793	0.6241043662
794	0.6238632162
795	0.6235733144
796	0.6235193168
797	0.6233031445
798	0.6229443097
799	0.6227500731
800	0.6224820207
801	0.6224054245
802	0.622238457
803	0.6221152519
804	0.6219298237
805	0.6216492258
806	0.6213900535
807	0.6211607778
808	0.6209426949
809	0.6205939032
810	0.6203368278
811	0.6199794744
812	0.6197146871
813	0.619491749
814	0.6192734387
815	0.6190047638
816	0.6187625428
817	0.618549836
818	0.6183485907
819	0.6180551305
820	0.617778725
821	0.6175237202
822	0.6171960317
823	0.6169855261
824	0.6166640617
825	0.6163387544
826	0.6160979648
827	0.6158271897
828	0.6155907015
829	0.6154084434
830	0.6151842485
831	0.6149280969
832	0.6147488613
833	0.6142617661
834	0.6139908213
835	0.613760684
836	0.6135191798
837	0.6132284915
838	0.6129754395
839	0.6128255331
840	0.6126585971
841	0.6122122328
842	0.6119692938
843	0.6116715245
844	0.6113396044
845	0.6109589356
846	0.6107421191
847	0.6105230364
848	0.6101703372
849	0.6100587423
850	0.6097740299
851	0.609554514
852	0.6093704777
853	0.6091000199
854	0.6088974683
855	0.6086144617
856	0.6083364569
857	0.608207033
858	0.6079484395
